ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
4043022,2147483614,3,3
4043022,2147483622,6,7
4043022,2147483623,6,6
4043022,2147483629,5,5
4043022,2147483630,5,6
4043022,2147483633,6,8
4043022,2147483638,4,4
4043022,2147483639,4,4
4043023,2147483291,2,2
4043023,2147483295,4,4
4043023,2147483622,5,6
4043023,2147483629,4,4
4043023,2147483633,5,7
4043023,2147483638,3,3
4043023,2147483639,3,3
4043161,2147483097,4,4
4043161,2147483098,4,4
4043161,2147483099,4,4
4043161,2147483100,4,4
4043161,2147483101,4,4
4043161,2147483102,4,4
4043161,2147483103,4,4
4043161,2147483104,4,4
4043161,2147483105,4,4
4043161,2147483224,4,4
4043161,2147483228,3,3
4043161,2147483502,5,5
4043161,2147483509,5,7
4043161,2147483510,5,7
4043161,2147483511,5,7
4043161,2147483608,4,5
4043161,2147483609,7,9
4043161,2147483614,3,3
4043161,2147483617,4,5
4043161,2147483635,5,6
4043161,2147483636,4,4
4043188,2147483613,3,5
4043191,2147483611,5,5
4043201,2147483533,4,5
4043201,2147483534,4,4
4043201,2147483535,4,4
4043369,2147483139,4,4
4044012,2147483469,4,4
4044012,2147483470,6,6
4044012,2147483614,6,6
4044045,2147483611,2,2
4044902,2147483613,3,3
4045839,2147483609,4,4
4045900,2147483615,6,6
4046554,2147483223,1,1
4047393,2147483244,2,2
4047393,2147483291,3,3
4048365,2147483123,3,6
4048365,2147483544,2,2
4048365,2147483549,3,3
4048365,2147483551,3,3
4048365,2147483626,5,5
4048731,2147483503,2,2
4048731,2147483504,2,2
4048731,2147483505,2,2
4048731,2147483506,2,2
4049812,2147483609,2,2
4051315,2147483617,1,2
4052390,2147483609,1,1
4054559,2147483609,6,6
4056681,2147483469,3,3
4056681,2147483470,5,5
4056973,2147483593,3,3
4057404,2147483644,2,2
4058322,2147483613,2,2
4058335,2147483629,1,1
4058335,2147483633,3,4
4058336,2147483630,2,2
4060499,2147483628,1,1
4061009,2147483630,2,2
4061660,2147483220,4,4
4061660,2147483221,4,4
4064992,2147483474,1,1
