"source_code_set","source_category","source_domain","source_code","source_concept_id","source_vocabulary_id","source_description","source_description_synonym","relationship_id","predicate_id","confidence","target_concept_id","target_concept_name","target_vocabulary_id","target_domain_id","author_label","reviewer_label","reviewer_comments","mapping_justification","mapping_tool","mapping_tool_version"
"HPO","HPO","Meas Value","HP_0012837","37429779","HPO","Generalized","Generalised","Maps to","skos:exactMatch","1","4244571","Generalized","SNOMED","Meas Value","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Meas Value","HP_0012835","37429777","HPO","Left","Left-sided","Maps to","skos:exactMatch","1","4300877","Left","SNOMED","Meas Value","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Meas Value","HP_0012834","37429776","HPO","Right","Right-sided","Maps to","skos:exactMatch","1","4080761","Right","SNOMED","Meas Value","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_0012833","37429775","HPO","Unilateral","","Maps to","skos:exactMatch","1","4280221","Unilateral","SNOMED","Observation","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Meas Value","HP_0012832","37429774","HPO","Bilateral","","Maps to","skos:exactMatch","1","4197258","Right and left","SNOMED","Meas Value","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Meas Value","HP_0012829","37429771","HPO","Profound","","Maps to","skos:exactMatch","1","4196186","Deep","SNOMED","Meas Value","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_0012828","37429770","HPO","Severe","","Maps to","skos:exactMatch","1","4087703","Severe","SNOMED","Observation","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Meas Value","HP_0012826","37429768","HPO","Moderate","","Maps to","skos:exactMatch","1","37165778","Moderate","SNOMED","Meas Value","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_0012825","37429767","HPO","Mild","","Maps to","skos:exactMatch","1","4116992","Mild","SNOMED","Observation","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012822","37429764","HPO","Bilateral vocal cord paresis","","Maps to","skos:exactMatch","1","260130","Bilateral partial vocal cord paralysis","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012820","37429762","HPO","Bilateral vocal cord paralysis","","Maps to","skos:exactMatch","1","260135","Complete bilateral paralysis of vocal cords","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012819","37429761","HPO","Myocarditis","Inflammation of heart muscle","Maps to","skos:exactMatch","1","314383","Myocarditis","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012817","37429759","HPO","Noncompaction cardiomyopathy","Noncompaction of the ventricular myocardium | Spongiform cardiomyopathy","Maps to","skos:exactMatch","1","43021903","Ventricular myocardial noncompaction cardiomyopathy","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012816","37429758","HPO","Right ventricular noncompaction cardiomyopathy","","Maps to","skos:exactMatch","1","40487104","Right ventricular myocardial noncompaction cardiomyopathy","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012805","37429747","HPO","Iris transillumination defect","","Maps to","skos:exactMatch","1","4268278","Iris transillumination","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012804","37429746","HPO","Corneal ulceration","Corneal ulcer | Corneal ulcerations","Maps to","skos:exactMatch","1","373202","Corneal ulcer","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012803","37429745","HPO","Anisometropia","","Maps to","skos:exactMatch","1","375547","Anisometropia","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012798","37429740","HPO","Pulmonary lymphangiomyomatosis","Pulmonary myomatosis","Maps to","skos:exactMatch","1","4174275","Pulmonary lymphangioleiomyomatosis","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
