ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
"21125875","2062503634","1","1"
"37399248","2062500119","1","1"
"1548195","2062501570","1","1"
"40771529","2061503895","1","1"
"4065798","2061504424","1","1"
"21125875","2062503676","1","1"
"2061502062","40863679","1","1"
"4190196","2062500619","1","1"
"40478913","2061500037","1","1"
"2061501001","44109208","1","1"
"37392885","2061505870","1","1"
"4159405","2061501622","1","1"
"37393549","2061505833","1","1"
"4015193","2061505797","1","1"
"2061500494","44108596","1","1"
"4159406","2061501545","1","1"
"21125875","2062502944","1","1"
"2061501274","36249688","1","1"
"780003","2062502195","1","1"
"2061502069","35605662","1","1"
"4190104","2061501228","1","1"
"2061501793","42956897","1","1"
"2061500584","3006967","1","1"
"4223723","2061501391","1","1"
"766529","2062500269","1","1"
"2061501965","40757761","1","1"
"4294382","2061503279","1","1"
"4189544","2061501210","1","1"
"785649","2062502394","1","1"
"43055002","2061500952","1","1"
"21125875","2062503601","1","1"
"45187151","2061501850","1","1"
"21027865","2062503269","1","1"
"3016335","2061501554","1","1"
"4338536","2061505825","1","1"
"4189544","2061501809","1","1"
"9201","2062508428","1","1"
"4159405","2061501614","1","1"
"3044016","2061501399","1","1"
"2061502114","40757763","1","1"
"36878782","2062502928","1","1"
"37204082","2061501936","1","1"
"36852635","2062502154","1","1"
"42873108","2061502259","1","1"
"45187151","2061501851","1","1"
"21145611","2062501894","1","1"
"2061502066","40090705","1","1"
"45197166","2061501798","1","1"
"961047","2061501337","1","1"
"760568","2061500941","1","1"
"2061502068","40725904","1","1"
"44790744","2062497998","1","1"
"3008223","2061501555","1","1"
"4087901","2061500597","1","1"
"21125875","2062503638","1","1"
"2061500461","2918007","1","1"
"36878782","2062503610","1","1"
"2061501327","41018234","1","1"
"4007957","2061505795","1","1"
"2061502063","35753824","1","1"
"40213158","2062507554","1","1"
"36850094","2062501843","1","1"
"9201","2062495427","1","1"
"2061502198","40070101","1","1"
"1002418","2061505777","1","1"
"4216179","2061500833","1","1"
"40483855","2061501870","1","1"
"2061502069","42478951","1","1"
"21125875","2062502924","1","1"
"2061502256","36784367","1","1"
"21495000","2061500559","1","1"
"1989306","2061500592","1","1"
"37394343","2061505864","1","1"
"40242573","2062503489","1","1"
"44791204","2062498014","1","1"
"2061500527","4235371","1","1"
"2061501948","36031162","1","1"
"40765108","2061505844","1","1"
"1703069","2062500652","1","1"
"4159406","2061501547","1","1"
"760568","2061500937","1","1"
"2061501967","36031885","1","1"
"2061505895","40764165","1","1"
"44784371","2061502151","1","1"
"19106973","2062503321","1","1"
"2061505814","4018467","1","1"
"2061500848","21490828","1","1"
"3022130","2061502004","1","1"
"1988205","2061500596","1","1"
"2061500848","21490824","1","1"
"44791687","2062498098","1","1"
"36118947","2062504529","1","1"
"46286094","2062498079","1","1"
"46286019","2062498105","1","1"
"40771525","2061500504","1","1"
"4251314","2061503331","1","1"
"40485383","2061501465","1","1"
"44791698","2062498003","1","1"
"1129625","2062502715","1","1"
"2061501371","46287326","1","1"
"4159406","2061501571","1","1"
"2061501284","36884674","1","1"
"4238783","2061500526","1","1"
"4048506","2061505429","1","1"
"989878","2062501687","1","1"
"36878782","2062502768","1","1"
"42869590","2061502076","1","1"
"42873108","2061502263","1","1"
"21350499","2061501581","1","1"
"2061500461","40058299","1","1"
"2061505911","3005044","1","1"
"4222039","2062501440","1","1"
"4017497","2061501584","1","1"
